loan_id,origination_date,year,month,quarter,tranche,vehicle_type,credit_band,fico_score,original_balance,term_months,annual_rate,monthly_payment,charged_off,charge_off_month,charge_off_balance,recovery,deficiency_paid,net_loss
AL000001,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,641,29200.0,60,0.0943,612.26,False,,,,False,0.0
AL000002,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,746,30100.0,60,0.0656,589.79,False,,,,False,0.0
AL000003,2007-01-01,2007,1,1,2007-Q1,New,Prime,717,25200.0,48,0.0738,607.9,False,,,,False,0.0
AL000004,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,779,35200.0,48,0.0618,829.58,False,,,,False,0.0
AL000005,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,674,23900.0,48,0.0977,603.53,False,,,,False,0.0
AL000006,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,640,24000.0,48,0.0927,600.32,False,,,,False,0.0
AL000007,2007-01-01,2007,1,1,2007-Q1,New,Prime,689,27800.0,48,0.0654,659.79,False,,,,False,0.0
AL000008,2007-01-01,2007,1,1,2007-Q1,New,Prime,685,17000.0,48,0.0722,408.82,False,,,,False,0.0
AL000009,2007-01-01,2007,1,1,2007-Q1,New,Subprime,618,20900.0,48,0.1366,567.57,False,,,,False,0.0
AL000010,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,674,21500.0,36,0.0879,681.59,False,,,,False,0.0
AL000011,2007-01-01,2007,1,1,2007-Q1,New,Prime,715,34600.0,48,0.0739,834.81,False,,,,False,0.0
AL000012,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,663,26900.0,48,0.0879,666.73,False,,,,False,0.0
AL000013,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,778,23500.0,48,0.0586,550.39,False,,,,False,0.0
AL000014,2007-01-01,2007,1,1,2007-Q1,New,Subprime,635,20200.0,36,0.1369,687.35,False,,,,False,0.0
AL000015,2007-01-01,2007,1,1,2007-Q1,New,Prime,703,23200.0,48,0.0735,559.33,False,,,,False,0.0
AL000016,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,788,23200.0,60,0.0673,456.44,False,,,,False,0.0
AL000017,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,678,26400.0,60,0.0897,547.64,False,,,,False,0.0
AL000018,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,650,31000.0,48,0.0889,769.82,False,,,,False,0.0
AL000019,2007-01-01,2007,1,1,2007-Q1,New,Subprime,620,27600.0,60,0.1252,621.22,False,,,,False,0.0
AL000020,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,643,19200.0,48,0.096,483.28,False,,,,False,0.0
AL000021,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,665,30600.0,48,0.0959,770.08,False,,,,False,0.0
AL000022,2007-01-01,2007,1,1,2007-Q1,New,Subprime,616,25900.0,60,0.1335,593.96,False,,,,False,0.0
AL000023,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,665,18400.0,60,0.0914,383.21,False,,,,False,0.0
AL000024,2007-01-01,2007,1,1,2007-Q1,New,Prime,695,24000.0,60,0.0803,486.98,False,,,,False,0.0
AL000025,2007-01-01,2007,1,1,2007-Q1,New,Prime,717,28400.0,48,0.0662,675.08,False,,,,False,0.0
AL000026,2007-01-01,2007,1,1,2007-Q1,New,Prime,694,28300.0,48,0.0731,681.76,False,,,,False,0.0
AL000027,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,732,22800.0,36,0.0611,694.76,False,,,,False,0.0
AL000028,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,828,32200.0,48,0.0627,760.21,False,,,,False,0.0
AL000029,2007-01-01,2007,1,1,2007-Q1,New,Prime,709,21900.0,48,0.0735,527.99,False,,,,False,0.0
AL000030,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,640,28300.0,60,0.0999,601.15,False,,,,False,0.0
AL000031,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,674,23900.0,48,0.0941,599.42,False,,,,False,0.0
AL000032,2007-01-01,2007,1,1,2007-Q1,New,Prime,698,20400.0,48,0.069,487.56,False,,,,False,0.0
AL000033,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,787,31000.0,48,0.0648,734.88,False,,,,False,0.0
AL000034,2007-01-01,2007,1,1,2007-Q1,New,Prime,686,26100.0,60,0.08,529.21,False,,,,False,0.0
AL000035,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,678,28500.0,48,0.0918,711.66,False,,,,False,0.0
AL000036,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,674,28500.0,48,0.1027,726.53,False,,,,False,0.0
AL000037,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,671,26300.0,36,0.1028,852.09,False,,,,False,0.0
AL000038,2007-01-01,2007,1,1,2007-Q1,New,Prime,699,12100.0,48,0.0791,294.89,False,,,,False,0.0
AL000039,2007-01-01,2007,1,1,2007-Q1,New,Subprime,585,27000.0,36,0.1335,914.3,False,,,,False,0.0
AL000040,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,674,27000.0,48,0.0851,665.63,False,,,,False,0.0
AL000041,2007-01-01,2007,1,1,2007-Q1,New,Prime,715,25300.0,48,0.0768,613.85,False,,,,False,0.0
AL000042,2007-01-01,2007,1,1,2007-Q1,New,Subprime,607,34600.0,48,0.1324,932.36,False,,,,False,0.0
AL000043,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,652,22100.0,60,0.0925,461.45,False,,,,False,0.0
AL000044,2007-01-01,2007,1,1,2007-Q1,New,Subprime,621,31500.0,48,0.1366,855.42,False,,,,False,0.0
AL000045,2007-01-01,2007,1,1,2007-Q1,New,Prime,687,23600.0,48,0.0776,573.49,False,,,,False,0.0
AL000046,2007-01-01,2007,1,1,2007-Q1,New,Prime,717,27000.0,48,0.0798,658.9,False,,,,False,0.0
AL000047,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,738,22600.0,60,0.0564,433.15,False,,,,False,0.0
AL000048,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,728,24300.0,48,0.0507,560.38,False,,,,False,0.0
AL000049,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,844,28100.0,48,0.0593,659.03,False,,,,False,0.0
AL000050,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,676,26500.0,48,0.0938,664.25,False,,,,False,0.0
AL000051,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,666,18700.0,48,0.0929,467.93,False,,,,False,0.0
AL000052,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,662,24600.0,48,0.091,613.34,False,,,,False,0.0
