loan_id,origination_date,year,month,quarter,tranche,vehicle_type,credit_band,fico_score,original_balance,term_months,annual_rate,monthly_payment,charged_off,charge_off_month,charge_off_balance,recovery,deficiency_paid,net_loss
AL000001,2007-01-01,2007,1,1,2007-Q1,New,Subprime,629,18700.0,48,0.1314,502.97,False,,,,False,0.0
AL000002,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,644,26700.0,48,0.0955,671.43,False,,,,False,0.0
AL000003,2007-01-01,2007,1,1,2007-Q1,New,Prime,709,34400.0,48,0.0764,834.0,False,,,,False,0.0
AL000004,2007-01-01,2007,1,1,2007-Q1,New,Subprime,608,26600.0,60,0.1363,613.84,False,,,,False,0.0
AL000005,2007-01-01,2007,1,1,2007-Q1,New,Subprime,588,23800.0,60,0.1425,556.87,False,,,,False,0.0
AL000006,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,655,12800.0,60,0.0829,261.32,False,,,,False,0.0
AL000007,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,647,30200.0,60,0.1006,642.55,False,,,,False,0.0
AL000008,2007-01-01,2007,1,1,2007-Q1,New,Subprime,634,23100.0,48,0.1406,631.94,False,,,,False,0.0
AL000009,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,732,25900.0,48,0.0603,608.62,False,,,,False,0.0
AL000010,2007-01-01,2007,1,1,2007-Q1,New,Prime,683,20100.0,36,0.0776,627.64,False,,,,False,0.0
AL000011,2007-01-01,2007,1,1,2007-Q1,New,Prime,681,34800.0,36,0.0701,1074.68,False,,,,False,0.0
AL000012,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,841,38800.0,60,0.064,757.35,False,,,,False,0.0
AL000013,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,830,24400.0,60,0.0551,466.18,False,,,,False,0.0
AL000014,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,671,23000.0,48,0.0983,581.46,False,,,,False,0.0
AL000015,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,654,23100.0,48,0.0962,581.67,False,,,,False,0.0
AL000016,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,664,29500.0,48,0.0999,748.05,False,,,,False,0.0
AL000017,2007-01-01,2007,1,1,2007-Q1,New,Prime,683,29200.0,36,0.0786,913.14,False,,,,False,0.0
AL000018,2007-01-01,2007,1,1,2007-Q1,New,Prime,697,26300.0,36,0.0816,826.09,False,,,,False,0.0
AL000019,2007-01-01,2007,1,1,2007-Q1,New,Prime,692,24600.0,36,0.0721,761.94,False,,,,False,0.0
AL000020,2007-01-01,2007,1,1,2007-Q1,New,Subprime,635,24600.0,36,0.1394,840.05,False,,,,False,0.0
AL000021,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,652,29300.0,48,0.1003,743.55,False,,,,False,0.0
AL000022,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,763,31000.0,48,0.0564,722.93,False,,,,False,0.0
AL000023,2007-01-01,2007,1,1,2007-Q1,New,Subprime,584,36000.0,48,0.1286,963.29,False,,,,False,0.0
AL000024,2007-01-01,2007,1,1,2007-Q1,New,Subprime,611,26800.0,36,0.1379,913.23,False,,,,False,0.0
AL000025,2007-01-01,2007,1,1,2007-Q1,New,Prime,690,33400.0,48,0.0784,812.89,False,,,,False,0.0
AL000026,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,679,16700.0,36,0.091,531.83,False,,,,False,0.0
AL000027,2007-01-01,2007,1,1,2007-Q1,New,Prime,705,29500.0,36,0.0706,911.68,False,,,,False,0.0
AL000028,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,670,26200.0,36,0.1007,846.26,False,,,,False,0.0
AL000029,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,644,35300.0,48,0.0904,879.11,False,,,,False,0.0
AL000030,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,658,27500.0,48,0.0959,692.07,False,,,,False,0.0
AL000031,2007-01-01,2007,1,1,2007-Q1,New,Prime,710,20000.0,36,0.0792,625.99,False,,,,False,0.0
