loan_id,origination_date,year,month,quarter,tranche,vehicle_type,credit_band,fico_score,original_balance,term_months,annual_rate,monthly_payment,charged_off,charge_off_month,charge_off_balance,recovery,deficiency_paid,net_loss
AL000001,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,644,27700.0,48,0.0984,700.42,False,,,,False,0.0
AL000002,2007-01-01,2007,1,1,2007-Q1,New,Prime,704,19200.0,48,0.0725,462.0,False,,,,False,0.0
AL000003,2007-01-01,2007,1,1,2007-Q1,New,Prime,702,22800.0,48,0.0797,556.29,False,,,,False,0.0
AL000004,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,645,33400.0,48,0.0912,833.06,False,,,,False,0.0
AL000005,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,844,32000.0,60,0.0553,611.68,False,,,,False,0.0
AL000006,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,808,27000.0,48,0.051,623.01,False,,,,False,0.0
AL000007,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,796,22400.0,48,0.0499,515.75,False,,,,False,0.0
AL000008,2007-01-01,2007,1,1,2007-Q1,New,Subprime,621,28200.0,48,0.1393,769.62,False,,,,False,0.0
AL000009,2007-01-01,2007,1,1,2007-Q1,New,Prime,698,23300.0,36,0.0769,726.81,False,,,,False,0.0
AL000010,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,746,27900.0,48,0.0554,649.36,False,,,,False,0.0
AL000011,2007-01-01,2007,1,1,2007-Q1,New,Prime,692,26300.0,60,0.0792,532.26,False,,,,False,0.0
AL000012,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,769,31500.0,36,0.0561,952.73,False,,,,False,0.0
AL000013,2007-01-01,2007,1,1,2007-Q1,New,Subprime,614,31100.0,48,0.1394,848.92,False,,,,False,0.0
AL000014,2007-01-01,2007,1,1,2007-Q1,New,Subprime,614,26300.0,48,0.1335,710.14,False,,,,False,0.0
AL000015,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,665,27600.0,36,0.1025,893.82,False,,,,False,0.0
AL000016,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,753,25500.0,36,0.0583,773.8,False,,,,False,0.0
AL000017,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,674,37000.0,48,0.0917,923.74,False,,,,False,0.0
AL000018,2007-01-01,2007,1,1,2007-Q1,New,Subprime,581,34800.0,36,0.1457,1199.04,False,,,,False,0.0
AL000019,2007-01-01,2007,1,1,2007-Q1,New,Prime,689,25200.0,48,0.0785,613.43,False,,,,False,0.0
AL000020,2007-01-01,2007,1,1,2007-Q1,New,Prime,695,24400.0,48,0.071,585.42,False,,,,False,0.0
AL000021,2007-01-01,2007,1,1,2007-Q1,New,Prime,697,26400.0,48,0.0688,630.71,False,,,,False,0.0
AL000022,2007-01-01,2007,1,1,2007-Q1,New,Prime,695,25100.0,48,0.0731,604.67,False,,,,False,0.0
AL000023,2007-01-01,2007,1,1,2007-Q1,New,Prime,681,23600.0,48,0.0729,568.31,False,,,,False,0.0
AL000024,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,790,28100.0,48,0.0543,652.61,False,,,,False,0.0
AL000025,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,805,30500.0,48,0.0538,707.66,False,,,,False,0.0
AL000026,2007-01-01,2007,1,1,2007-Q1,New,Prime,696,27800.0,36,0.0769,867.18,False,,,,False,0.0
AL000027,2007-01-01,2007,1,1,2007-Q1,New,Prime,693,27600.0,48,0.0783,671.6,False,,,,False,0.0
AL000028,2007-01-01,2007,1,1,2007-Q1,New,Prime,680,31100.0,48,0.0727,748.63,False,,,,False,0.0
AL000029,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,822,25600.0,36,0.052,769.56,False,,,,False,0.0
AL000030,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,661,29800.0,48,0.1027,759.67,False,,,,False,0.0
AL000031,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,675,22900.0,48,0.0971,577.62,False,,,,False,0.0
AL000032,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,644,18800.0,36,0.0902,598.01,False,,,,False,0.0
AL000033,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,666,30900.0,60,0.1006,657.45,False,,,,False,0.0
AL000034,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,772,28400.0,48,0.0594,666.19,False,,,,False,0.0
AL000035,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,677,27700.0,36,0.0902,881.11,False,,,,False,0.0
AL000036,2007-01-01,2007,1,1,2007-Q1,New,Prime,709,18900.0,60,0.0683,372.73,False,,,,False,0.0
AL000037,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,830,28800.0,36,0.0693,888.34,False,,,,False,0.0
AL000038,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,645,27200.0,48,0.085,670.43,False,,,,False,0.0
AL000039,2007-01-01,2007,1,1,2007-Q1,New,Subprime,608,23600.0,60,0.1367,545.1,False,,,,False,0.0
AL000040,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,677,29000.0,48,0.0938,726.91,False,,,,False,0.0
AL000041,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,662,31700.0,48,0.0925,792.62,False,,,,False,0.0
AL000042,2007-01-01,2007,1,1,2007-Q1,New,Prime,703,19900.0,36,0.0732,617.37,False,,,,False,0.0
AL000043,2007-01-01,2007,1,1,2007-Q1,New,Prime,682,28500.0,48,0.0736,687.24,False,,,,False,0.0
AL000044,2007-01-01,2007,1,1,2007-Q1,New,Subprime,610,29800.0,48,0.1321,802.57,False,,,,False,0.0
AL000045,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,791,26000.0,48,0.0589,609.3,False,,,,False,0.0
AL000046,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,671,34000.0,36,0.0964,1091.35,False,,,,False,0.0
AL000047,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,646,32000.0,48,0.0973,807.46,False,,,,False,0.0
AL000048,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,832,21800.0,60,0.0568,418.22,False,,,,False,0.0
AL000049,2007-01-01,2007,1,1,2007-Q1,New,Prime,687,26600.0,48,0.0676,634.01,False,,,,False,0.0
AL000050,2007-01-01,2007,1,1,2007-Q1,New,Subprime,580,28600.0,36,0.1365,972.63,False,,,,False,0.0
AL000051,2007-01-01,2007,1,1,2007-Q1,New,Prime,694,31800.0,48,0.0744,768.0,False,,,,False,0.0
AL000052,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,821,24000.0,48,0.0582,561.66,False,,,,False,0.0
AL000053,2007-01-01,2007,1,1,2007-Q1,New,Prime,688,23500.0,48,0.0781,571.61,False,,,,False,0.0
AL000054,2007-01-01,2007,1,1,2007-Q1,New,Prime,695,21600.0,36,0.0676,664.58,False,,,,False,0.0
AL000055,2007-01-01,2007,1,1,2007-Q1,New,Prime,708,17100.0,48,0.0826,419.55,False,,,,False,0.0
AL000056,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,648,23700.0,48,0.0975,598.25,False,,,,False,0.0
AL000057,2007-01-01,2007,1,1,2007-Q1,New,Prime,702,28900.0,48,0.0792,704.45,False,,,,False,0.0
AL000058,2007-01-01,2007,1,1,2007-Q1,New,Prime,702,22700.0,48,0.0763,550.24,False,,,,False,0.0
AL000059,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,741,15600.0,48,0.0546,362.52,False,,,,False,0.0
AL000060,2007-01-01,2007,1,1,2007-Q1,New,Subprime,587,27400.0,48,0.1271,731.14,False,,,,False,0.0
AL000061,2007-01-01,2007,1,1,2007-Q1,New,Prime,713,14700.0,48,0.0825,360.6,False,,,,False,0.0
AL000062,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,726,31100.0,36,0.0565,941.2,False,,,,False,0.0
AL000063,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,722,23000.0,60,0.0639,448.84,False,,,,False,0.0
AL000064,2007-01-01,2007,1,1,2007-Q1,New,Prime,700,26500.0,48,0.0828,650.43,False,,,,False,0.0
AL000065,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,667,21000.0,48,0.0986,531.2,False,,,,False,0.0
AL000066,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,746,27200.0,36,0.0559,822.43,False,,,,False,0.0
AL000067,2007-01-01,2007,1,1,2007-Q1,New,Prime,697,36300.0,36,0.0741,1127.66,False,,,,False,0.0
AL000068,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,777,13100.0,48,0.0575,306.15,False,,,,False,0.0
AL000069,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,732,25700.0,36,0.07,793.54,False,,,,False,0.0
AL000070,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,662,29800.0,48,0.0939,747.11,False,,,,False,0.0
AL000071,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,813,19500.0,36,0.0626,595.53,False,,,,False,0.0
AL000072,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,786,25800.0,48,0.0596,605.44,False,,,,False,0.0
AL000073,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,842,23300.0,48,0.0618,549.13,False,,,,False,0.0
AL000074,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,663,22000.0,48,0.0985,556.39,False,,,,False,0.0
AL000075,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,649,24100.0,48,0.0936,603.86,False,,,,False,0.0
AL000076,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,828,16400.0,48,0.0672,390.59,False,,,,False,0.0
AL000077,2007-01-01,2007,1,1,2007-Q1,New,Prime,701,32000.0,36,0.0763,997.31,False,,,,False,0.0
AL000078,2007-01-01,2007,1,1,2007-Q1,New,Prime,695,23400.0,48,0.0765,567.43,False,,,,False,0.0
AL000079,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,742,12400.0,60,0.0624,241.11,False,,,,False,0.0
AL000080,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,662,27500.0,60,0.0972,580.51,False,,,,False,0.0
AL000081,2007-01-01,2007,1,1,2007-Q1,New,Prime,700,28500.0,48,0.0783,693.5,False,,,,False,0.0
AL000082,2007-01-01,2007,1,1,2007-Q1,New,Subprime,585,27800.0,60,0.1332,637.1,False,,,,False,0.0
AL000083,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,782,28000.0,48,0.0642,662.99,False,,,,False,0.0
AL000084,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,768,24400.0,48,0.0516,563.68,False,,,,False,0.0
AL000085,2007-01-01,2007,1,1,2007-Q1,New,Prime,715,34900.0,48,0.0816,854.63,False,,,,False,0.0
AL000086,2007-01-01,2007,1,1,2007-Q1,New,Prime,704,22100.0,48,0.0736,532.91,False,,,,False,0.0
AL000087,2007-01-01,2007,1,1,2007-Q1,New,Subprime,585,26500.0,48,0.1405,724.82,False,,,,False,0.0
AL000088,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,820,24700.0,48,0.0535,572.75,False,,,,False,0.0
AL000089,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,655,26500.0,48,0.1056,679.26,True,11.0,21858.57,10783.5,False,11075.07
AL000090,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,677,26100.0,36,0.093,833.62,False,,,,False,0.0
AL000091,2007-01-01,2007,1,1,2007-Q1,New,Prime,691,28000.0,48,0.0761,678.45,False,,,,False,0.0
AL000092,2007-01-01,2007,1,1,2007-Q1,New,Subprime,585,25700.0,48,0.1281,687.05,False,,,,False,0.0
AL000093,2007-01-01,2007,1,1,2007-Q1,New,Subprime,594,24800.0,48,0.1356,672.24,False,,,,False,0.0
AL000094,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,813,27200.0,48,0.0569,634.93,False,,,,False,0.0
AL000095,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,649,23600.0,60,0.0957,496.45,False,,,,False,0.0
AL000096,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,646,31100.0,48,0.092,776.88,False,,,,False,0.0
AL000097,2007-01-01,2007,1,1,2007-Q1,New,Prime,680,22000.0,48,0.0722,529.07,False,,,,False,0.0
AL000098,2007-01-01,2007,1,1,2007-Q1,New,Prime,688,18100.0,48,0.0781,440.26,False,,,,False,0.0
AL000099,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,665,27200.0,48,0.0938,681.79,False,,,,False,0.0
AL000100,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,826,29200.0,48,0.0515,674.44,False,,,,False,0.0
AL000101,2007-01-01,2007,1,1,2007-Q1,New,Prime,683,26300.0,48,0.0771,638.49,False,,,,False,0.0
AL000102,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,767,29100.0,60,0.0548,555.58,False,,,,False,0.0
AL000103,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,722,24100.0,60,0.0511,456.01,False,,,,False,0.0
AL000104,2007-01-01,2007,1,1,2007-Q1,New,Prime,694,16400.0,48,0.0756,396.99,False,,,,False,0.0
AL000105,2007-01-01,2007,1,1,2007-Q1,New,Subprime,602,24000.0,48,0.1342,648.87,False,,,,False,0.0
AL000106,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,660,33300.0,36,0.093,1063.59,True,29.0,8219.46,3954.66,False,4264.8
AL000107,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,740,22000.0,48,0.0581,514.76,False,,,,False,0.0
AL000108,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,677,29300.0,48,0.1027,746.93,True,13.0,23057.55,10578.23,False,12479.32
AL000109,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,673,21000.0,48,0.1007,533.32,False,,,,False,0.0
AL000110,2007-01-01,2007,1,1,2007-Q1,New,Subprime,586,29900.0,48,0.1367,812.12,False,,,,False,0.0
AL000111,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,660,29900.0,48,0.098,755.47,False,,,,False,0.0
AL000112,2007-01-01,2007,1,1,2007-Q1,New,Prime,717,23200.0,60,0.0749,464.77,False,,,,False,0.0
AL000113,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,655,19000.0,48,0.09,472.82,False,,,,False,0.0
AL000114,2007-01-01,2007,1,1,2007-Q1,New,Prime,703,26200.0,48,0.0758,634.47,False,,,,False,0.0
AL000115,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,675,25100.0,48,0.0914,626.28,False,,,,False,0.0
AL000116,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,780,35000.0,48,0.0553,814.46,False,,,,False,0.0
AL000117,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,798,27000.0,36,0.0602,821.64,False,,,,False,0.0
AL000118,2007-01-01,2007,1,1,2007-Q1,New,Subprime,639,27100.0,48,0.1394,739.73,False,,,,False,0.0
AL000119,2007-01-01,2007,1,1,2007-Q1,New,Subprime,604,33600.0,48,0.1377,914.3,False,,,,False,0.0
AL000120,2007-01-01,2007,1,1,2007-Q1,New,Prime,713,23500.0,60,0.0774,473.58,False,,,,False,0.0
AL000121,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,817,31500.0,36,0.0487,942.25,False,,,,False,0.0
AL000122,2007-01-01,2007,1,1,2007-Q1,New,Prime,711,24400.0,60,0.0685,481.42,True,4.0,23367.71,11336.24,False,12031.47
AL000123,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,794,25000.0,36,0.0664,767.82,False,,,,False,0.0
AL000124,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,765,25900.0,48,0.0594,607.55,False,,,,False,0.0
AL000125,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,651,29600.0,48,0.1017,753.15,False,,,,False,0.0
AL000126,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,848,31800.0,36,0.06,967.42,False,,,,False,0.0
AL000127,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,736,22200.0,36,0.0616,676.98,False,,,,False,0.0
AL000128,2007-01-01,2007,1,1,2007-Q1,New,Super Prime,762,28000.0,60,0.0533,532.64,False,,,,False,0.0
AL000129,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,645,23300.0,48,0.098,588.71,False,,,,False,0.0
AL000130,2007-01-01,2007,1,1,2007-Q1,New,Near Prime,667,30400.0,48,0.0946,763.16,False,,,,False,0.0
