tranche,vehicle_type,credit_band,loan_age_months,n_loans_in_tranche,total_orig_balance,cum_chargeoff_count,cum_chargeoff_balance,cum_net_loss,cum_co_rate_count,cum_co_rate_balance
2007-Q1,New,Super Prime,1,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,2,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,3,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,4,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,5,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,6,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,7,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,8,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,9,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,10,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,11,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,12,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,13,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,14,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,15,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,16,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,17,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,18,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,19,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,20,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,21,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,22,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,23,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,24,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,25,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,26,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,27,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,28,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,29,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,30,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,31,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,32,121,3250200.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,33,121,3250200.0,0,0.0,0.0,0.0,0.0
