tranche,vehicle_type,credit_band,loan_age_months,n_loans_in_tranche,total_orig_balance,cum_chargeoff_count,cum_chargeoff_balance,cum_net_loss,cum_co_rate_count,cum_co_rate_balance
2007-Q1,New,Super Prime,1,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,2,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,3,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,4,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,5,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,6,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,7,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,8,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,9,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,10,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,11,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,12,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,13,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,14,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,15,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,16,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,17,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,18,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,19,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,20,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,21,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,22,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,23,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,24,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,25,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,26,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,27,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,28,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,29,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,30,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,31,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,32,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,33,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,34,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,35,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,36,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,37,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,38,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,39,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,40,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,41,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,42,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,43,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,44,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,45,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,46,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,47,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,48,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,49,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,50,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,51,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,52,155,4263300.0,0,0.0,0.0,0.0,0.0
2007-Q1,New,Super Prime,53,155,4263300.0,0,0.0,0.0,0.0,0.0
